P_NUM,TAGT,FACK,L4AR,L3AR,L2AR,L1AR,H4AR,H3AR,H2AR,H1AR,CHN,PN,DESC,UNIT,MU,MD
1,61053,20808,False,False,False,False,False,False,False,False,iujbbwhfzewjkujjdxcunevbvlngajsc,azkjcuoirqumawnhtwrkuvnllyielrvw,dundxgwkrjgrilndvjzsgofzduatabamnwjhjtktatqdhqknmttgpcytazidhvubhpirbfoyzaphdtfyapdvmmrdmxkqvontiurjjriehknohenlbavjwifasljczaos,zoxybzdxnlpduxwmujfmldspsiimxiss,999,0
2,49581,33766,False,False,False,False,False,False,False,False,mrrcmwvjrlmnpumntcgrlqotjmtlerbu,szbnlzwlepecoenoicvwmrkufjbcesws,eazhcuprknsshribiidcleeacglikyhriazftyhzhsdspdcdsyfrbhsarcimrgjwekdfmjkehtbkxbcpqahtyexfnmudtdwkyumvoxoxllytpfhnluwaklbvlfsznaca,ddomesykykhlyfvtfkeilaouqabfimjz,999,0
3,18645,17331,False,False,False,False,False,False,False,False,hnzrrontylcmuvdufigmjjmifnkmxpsl,lzdfqmrzzhuvueldewttjjeqchpgyrpz,shjczipihlogolqhpqbcepcvcpgzxqdazvblgkwmusdpozmlwqqwjvmisxhnzgrpzmcpvaqkehaldkexswxdogewtslzclthrmsgqbkcjbgfhzeeulprzhnlrrtjfnbj,jfsaqbwqhtkwwpxxeklenhwvfjubtmhj,999,0
4,6151,38386,False,False,False,False,False,False,False,False,blsqsfjlerhhzlwrwlnnhqkrlvujjhiz,kfpoxyvwcnolhlgtmbvygbgbezhuvfir,gzkwojtpwvrbpjnmjlwbmejhhwkedvcovhziywsqnkaqslxwatmirqozlbrauzzdahqjwghjuaqmeobppxfwnyzclbkzwbwmhiludluxpklwvmocmfhivpvsuuvvohff,bseboisnmambzunacnkjqmzqwuzjvpah,999,0
5,51573,64400,False,False,False,False,False,False,False,False,sqmffmehztyvhebxqjpahqjkrfxrcune,rgjaktwezeedbxkgwpkucdhubospricw,kvscqxgpracyittukgqzlqytenqlqmjkssbcsruqraegvrlenjxqvogojnqmebjcgeqnzqaizqhbtnfovmrxgkhzstsspdutsslkxhuolcmxvyfnyozhllglgbwaeddz,pfvbqhvypugaajdzrjiphlblkbihmsrk,999,0
6,8966,23667,False,False,False,False,False,False,False,False,vncdkifrwgweaqemsvqytuezvzzerkec,bcaxvnventgssdzprrzvegtiitqmaiff,frtklvagxlottbxrmwbfdvfpdfvldxovqseizbftdrofxktfhcvpncuwaatcaolwsrqsmwvlddhhrdptbqepvuyfhykzjaopzeucyboofmpqvznimlcyetgkacgczypl,bmqhqvnyndhvbgchbcvtchkubhbcxkfj,999,0
7,27034,8553,False,False,False,False,False,False,False,False,jekelztzgpxqmobomylvtdzdftmddtgl,ddsqychxbwaofelqwpzametysquzmuzd,vytwqbalknsahajalsqnmptmhbqxnyunvjqygbjddgoeicbqhqedrozkqbatmircnyfxapprmmccswbpiyhqpvzdwjwkuazbhrlapjyypfstayxibzhiffgkqgcraeqd,esjdtiwitklbfsydootstukpmzphdwlx,999,0
8,9873,18623,False,False,False,False,False,False,False,False,opbazbwemtbptvulnoitbookldcleqzc,sqdomwzrwnybytacpdhavlezttyadvea,moqbxuawqbbksjhtipvaovzdjvtpdxsthylfteujwoxsnubxvesravmthtrfgvreykaufxwrcgnfcrnpohdrcsryskwfpltnkrktfzmvlzezyjasojguwrrxgdbtshox,msurzjhckergbmrpbcovtxzjbgtlkrxr,999,0
9,10927,56822,False,False,False,False,False,False,False,False,vixjnidvvocqyckvbcoiziycxitbdkxh,sqjczsvrugoapmwnygdwxknezoueagwx,nfyeosnwqtlzeuedjablgkijxiyukbtgcerhjyujchrwztqkwklpjkvtoclgfcbvlsaopazvetpcrnczhuvqnonahbrvzfjgeisomzuwrzuemvrbsrlhnbsofjunxtna,zpxnzyawbeamnxdbvrbqvtqbwxknvgnv,999,0
10,6953,55145,False,False,False,False,False,False,False,False,myjhupqfdglbnbnlaivbphmizahzgnpz,zwherpmhyrgofnwhzgmcswkyphvrkdpx,ifjyzbvnlygvyewzqtssugzgfnukaprnppntjmncztfezvyavalofoidgkmncpkrqeumgbdhfslskeddtezdlkblindnovuutkdsbiygwypoxklqkbezeurndxdjtbti,jjoeejlgpkiiruahcqyeycyefwyofunr,999,0
