P_NUM,FACK,CHN,PN,DESC,UNIT
1,49946,tbywjeiujqciepudvwggboobofznzzta,mseelihgbsdvicvkomiuyeyrcmtkfyru,ulwrapgwraazxascsjldkmwuilnvnlzxwsggzacmhrqtqkwcsmjwynswtcjoebllvstlwybeedqljzhmddicmwfpdrrbbvogczebkcwwrzkldnmtspezxgsbtwquztma,doopihffnywlvxegnelualtfhjokuvme
2,63694,ifpjytvqfkibvdgduxjfagrukfuydapf,lzmfqupuhgecejikdnceisghstvgynzc,ebcuxhfduzqwojvqekfvygqlucysdodqqrhclygkfiunzhwvauhrsazagvugihcocoyaoqapssyyxtpurlgccxxsfkthfnulsmidjhxuooxuzwxtqhseabcwzmxuktio,sfcwjyzqgkwdapqgcbxpnkybgdrgrrso
3,52923,ivnzruqawrgqelprrdnqkhvammlerhfa,hqeaqeuvkbbkvnhxpgafdxtrkvscepgp,kadltnqmpksedzxqcqnijvhyljkdzazvibtoqwbaugztorkuezvrfnjgjbbiyksgixuogpharcmyhthdgkoncudtdkmruixlpekoqbfalrewwiuocmjdnnvyfbmvnwua,vcxuuogvyjafhpmxtqgzbuibjxwittbh
4,52890,vfrelrqjmckgzhclajvrhafqkkxaquvh,gjkwpffrxxtukgurwvcymywiekmgyytu,iwmkqxmkbzrxcxudjrqzjkrnyhbqqkwmkplusfbakbzqdvjumxehmtpuuhwetjxralpqajyfgrzkadrlxtqzpyruuqjlosbynwkprfrmcfviioxzgzvmzcrssucrwqbk,vpxjrzwvgtoknnhoxrzxlrihmeabjujg
5,33345,uxnbuvezmcmrabminmihnmriudctmcsv,zdfogvvksbikofjjkccwgjksdpiohrsd,irdeqqqbmzzgtaevtoioroxyzupjblwlvzmgxgbdtcwudgqvsbqoshimccvctpcmxmrqgzkrucxxewwtczneprpoqmdcgwhrsqkkfjtblestureemuzigfzbucqsszzc,lmognuktedcfpsqskorlxncfetapoxqq
6,24618,sxyfcotehcvriicbnxlaqkjtlzoaevyb,evpwrzggcuccnyejtknwdhevmhojuqqb,vhqteotagiwokdwxbxoifnbacnpclimbghzmfazvszhkuvringkoubtneqzkttxvwdwtslncszovfjnxyooxuexywflmvjlkexzawwjvrspxuqiolmfhztxtgdrpzqrs,utebsdjouzfecgrdfylhzonbtjxpjzmq
7,25049,penopjkzofzlbifraafkmphfpnxnewwm,ppyegefrhjxxxtmmetstaaztjqmfcixx,febjdddjfvuuudiggptofhrecjpqpijquhwzrjmfbziqbpxidhedvqfigksxskrqpnarqhjhurnrrhkhuwbdrtrssnnlghqfixvkzataspufaxnwhvdaeqmzbfrmdzlm,nllcyhiqfpvnehxbrvzqlpyicyxkxsgg
8,45448,nmpkgieaathgdpifurmrnvkeykmkrhah,bsbsyjuizbtmexdmuhgdlrqutswczpac,beqwuhdnszbfnoheqxbkicudhczyicklcbnaduriwblooxziyrnpsnybeinngzgyvshjrmkxziovgshypnmdzflzowqtcfcbbzyqjhusoagqefzfygxbftooqaozajbs,krdndmouodwjmzobfrciloxuhtuaaoxk
9,51472,buhjyvztbobdbmfxdocvhqdudujdvwmb,rtirrbjmghojciovbdxdkmhyyrtmqice,rezwnymkhaqsbpfmgkujsynabcosoxvzbnysmnyiqycleekkryapmkoycvnperyefbmqsavrieebjtjrggmstukedruxycubvuiiwyknosehpgxylfhacaxsvonxajye,bqkgzvveqnxdxfnwynmuosxevlkrryop
10,36875,bybmxeixjmxmazqsbnkswsnxzirwsusw,nkmjqfcjbkyihojfuqwtzlghtzmrhphm,lirpqsdbhvomwklqompetkrvzlwjdqkkkbytltathpfkpmcaeikmixywzvcxyekaiqgjqvpaisrqbzbszhmcdpfrxomdqduruqmglpkubndlhzmqhbsjspflvoumlvti,ktuxcdwlzfvxuwraqzlvhqjhuodnzqut
11,3881,vptfbqhrbvwciowbzdipltvqbhazzzvo,rtqbpgkvgvfvrzenuxgzhzbikpywontz,hdnzbixwroxxdwqwjbbsfiyomnvukynfhcmjxhpjssjsddsolshugrekqdcicomwddzldijckihbvbsqaabqilyfyoytrmiqgsrnkphlaeipskhhtjnkgxoudaczwgum,adxpsckrappacuzmbzfhkieuxutpwiws
12,25087,asirfsianvaiglxivgcexjiyvsuqwnui,idgwrhmbyxhcvahajlqrmcdmkdzniwsc,bvmzayuesyjtrxkoopdtinqfuzmmpmixidlmunmozbtqxjlzwxwwwbgccmodflesejnuoyyxpyxptwoupyujmvxrkhzqskuxrwxitxpypvxadlrfvyledjtjluvsjrgx,fvnffixkdnnwzmfszmrfbtvdpuenjrhy
13,22154,vbvzacatwfjqpyrjhlhwlioyeiephryi,tchgyikczuykrpxhzlcyfyvgquczoqmm,zqnyurtcrxsgkwqvuzyhdsihtaefqpuycyqjmmuihdfdrjlgjdvyxurmwsoplpxfdgnjkwqyslxxblwjxbfvtiaguabptcuomtbxvyrkjbokkdwbuiyawwcrkhzcqzmr,nfiiulziqxuxsjmhwtjebtyslwpaezmj
14,34251,hionuyjvzeumvdlijapdqntsvdtqacnp,pnzdqwetiapmrdgrhvncbahpihbsdyqx,mkimptepakcszripifglnmxztraluzgxupjymiiayezrbivtrgxpdbidqadwqmtndlthykqdcjjwqpchrguhcghlhssgaejrptlezwtteojelxozmkuqyldlqkmdfeda,bobkbhhkqqmjoeafuaakjmqeopgjyemb
15,2145,duuxhzchavbqriuwdagsuwmvjfugrksj,fdbgokvoclixdajpytlnbxonmofdjlqe,grhdeovghuuvshivemoxqvkjlzjlorfarndlmseqzotuoerbfaxqwjyxocrhhzbfbabczyekfrxfxajlgosivwryxqdghovohgjjetcnbuflfzldfitcfeldwsyskahh,tssaptqzuwyguegbfrtfoklhrcigdhzz
16,14939,vqjxeppsysxuxsssocezgyvlruyonctv,lakgzvrkmdfjgpwqxugbexakgvdisvtm,uyppvrdruthedlwgleovgeigwrzudacwobnkaattlqwiamqzwnsdzmizmblojtjxgfawpkrusybwwaoffmrqzgnrvhumbrzghxcrbkmfrsmtuvrmphbdazoeiixrddht,lycleecgjkobepkbvztzftdeehpyjzyo
